iter	Passed	Remaining
0	3	3262
1	5	2703
2	7	2485
3	10	2610
4	13	2651
5	16	2670
6	18	2685
7	21	2701
8	24	2695
9	27	2712
10	30	2720
11	33	2723
12	35	2730
13	39	2748
14	41	2748
15	44	2747
16	47	2750
17	50	2747
18	53	2737
19	56	2750
20	59	2754
21	61	2753
22	64	2751
23	67	2750
24	70	2752
25	73	2750
26	76	2748
27	79	2745
28	81	2742
29	84	2739
30	87	2736
31	90	2733
32	93	2730
33	96	2727
34	98	2725
35	101	2721
36	104	2718
37	107	2711
38	109	2708
39	112	2705
40	116	2716
41	119	2725
42	122	2723
43	125	2721
44	127	2715
45	131	2723
46	134	2727
47	137	2724
48	140	2720
49	143	2717
50	145	2715
51	148	2712
52	151	2710
53	154	2708
54	157	2707
55	160	2703
56	163	2699
57	165	2695
58	168	2692
59	171	2688
60	175	2705
61	179	2711
62	182	2708
63	184	2692
64	187	2692
65	190	2689
66	192	2686
67	195	2683
68	198	2680
69	201	2681
70	204	2679
71	207	2676
72	210	2672
73	213	2668
74	216	2665
75	218	2661
76	221	2658
77	224	2654
78	227	2651
79	230	2647
80	233	2645
81	235	2641
82	238	2638
83	241	2634
84	244	2631
85	247	2630
86	250	2630
87	253	2627
88	256	2623
89	259	2619
90	262	2617
91	264	2614
92	267	2611
93	270	2608
94	273	2604
95	276	2601
96	279	2599
97	282	2595
98	284	2592
99	287	2588
100	290	2585
101	293	2582
102	296	2578
103	298	2575
104	301	2572
105	304	2569
106	307	2566
107	310	2563
108	313	2559
109	315	2556
110	318	2553
111	321	2550
112	324	2547
113	327	2544
114	330	2541
115	333	2537
116	335	2534
117	338	2532
118	341	2529
119	344	2526
120	347	2523
121	350	2520
122	353	2517
123	355	2514
124	358	2511
125	361	2509
126	364	2505
127	367	2506
128	370	2504
129	374	2504
130	377	2504
131	380	2503
132	383	2501
133	386	2500
134	389	2498
135	392	2496
136	395	2493
137	398	2491
138	401	2487
139	404	2485
140	407	2482
141	410	2481
142	413	2479
143	416	2476
144	419	2473
145	422	2470
146	425	2468
147	428	2465
148	431	2462
149	433	2458
150	436	2455
151	439	2453
152	442	2450
153	445	2446
154	448	2443
155	451	2440
156	454	2437
157	456	2434
158	459	2431
159	462	2428
160	465	2424
161	468	2421
162	471	2418
163	473	2416
164	476	2412
165	479	2410
166	482	2406
167	485	2406
168	489	2406
169	492	2406
170	496	2405
171	499	2404
172	502	2404
173	506	2402
174	509	2400
175	512	2397
176	515	2395
177	518	2392
178	520	2388
179	523	2385
180	526	2382
181	529	2380
182	532	2378
183	535	2375
184	538	2371
185	541	2368
186	544	2365
187	546	2362
188	549	2358
189	552	2355
190	555	2352
191	558	2349
192	561	2346
193	563	2342
194	566	2339
195	569	2336
196	572	2333
197	575	2332
198	578	2329
199	581	2326
200	584	2323
201	587	2320
202	590	2317
203	593	2314
204	596	2311
205	598	2308
206	601	2305
207	604	2303
208	607	2300
209	610	2297
210	613	2294
211	616	2291
212	620	2293
213	624	2293
214	627	2292
215	631	2291
216	635	2293
217	639	2292
218	642	2291
219	646	2290
220	649	2289
221	652	2287
222	657	2289
223	659	2286
224	662	2283
225	665	2279
226	668	2277
227	671	2273
228	674	2270
229	677	2267
230	680	2264
231	682	2260
232	685	2257
233	688	2254
234	691	2251
235	694	2248
236	697	2245
237	700	2242
238	703	2240
239	706	2238
240	710	2236
241	713	2233
242	715	2230
243	718	2226
244	721	2224
245	725	2222
246	728	2220
247	731	2216
248	734	2213
249	736	2210
250	739	2207
251	742	2204
252	745	2201
253	748	2197
254	751	2195
255	754	2191
256	757	2188
257	760	2185
258	762	2182
259	766	2181
260	769	2179
261	773	2178
262	776	2175
263	779	2172
264	782	2169
265	785	2166
266	789	2166
267	792	2163
268	795	2160
269	798	2157
270	800	2154
271	803	2151
272	806	2147
273	809	2144
274	812	2142
275	815	2139
276	818	2135
277	821	2132
278	823	2129
279	827	2128
280	830	2124
281	833	2121
282	836	2118
283	839	2115
284	842	2112
285	844	2109
286	847	2106
287	850	2102
288	853	2099
289	856	2096
290	859	2093
291	862	2090
292	865	2087
293	868	2084
294	871	2082
295	875	2082
296	879	2081
297	882	2079
298	885	2076
299	888	2073
300	891	2069
301	894	2067
302	897	2064
303	900	2061
304	903	2058
305	906	2055
306	909	2052
307	912	2049
308	915	2046
309	917	2042
310	920	2039
311	923	2036
312	926	2033
313	929	2030
314	932	2027
315	935	2024
316	938	2021
317	940	2017
318	943	2014
319	946	2011
320	949	2008
321	952	2004
322	955	2002
323	958	2000
324	961	1997
325	964	1994
326	967	1991
327	970	1989
328	973	1986
329	977	1984
330	980	1982
331	983	1978
332	986	1975
333	989	1972
334	992	1969
335	994	1966
336	997	1962
337	1000	1959
338	1003	1956
339	1006	1954
340	1009	1951
341	1012	1948
342	1015	1945
343	1018	1942
344	1021	1939
345	1024	1935
346	1027	1932
347	1029	1929
348	1032	1926
349	1035	1923
350	1038	1920
351	1041	1917
352	1044	1913
353	1047	1911
354	1050	1908
355	1053	1904
356	1055	1901
357	1058	1898
358	1061	1895
359	1064	1893
360	1067	1889
361	1070	1886
362	1073	1883
363	1076	1880
364	1079	1877
365	1082	1874
366	1085	1872
367	1088	1869
368	1091	1866
369	1094	1863
370	1097	1859
371	1099	1856
372	1102	1853
373	1105	1850
374	1108	1847
375	1111	1844
376	1114	1841
377	1117	1838
